Year,N,SI+ Cases,Prevalence %,Sensitivity,Specificity,AUC
2015,20519,882,4.2984550904040155,0.29024943310657597,0.9378214594897387,0.746304121621489
2016,20455,862,4.214128574920557,0.2668213457076566,0.933751850150564,0.730906961302885
2017,20676,1058,5.117043915650997,0.3724007561436673,0.8941788153736364,0.7438128991526434
2018,20974,1123,5.354248116715934,0.40160284951024044,0.8959246385572516,0.7637449533306303
2019,20579,1312,6.3754312648816756,0.4138719512195122,0.8779259874396637,0.7479874638741586
2020,12458,686,5.506501846203243,0.2988338192419825,0.9312776078831124,0.7566302879095428
2021,20367,1143,5.612019443216969,0.3079615048118985,0.9330524344569289,0.7412191681148055
2022,21119,1384,6.553340593778115,0.32008670520231214,0.9346338991639219,0.7641074255562503
2023,19810,1301,6.567390206966178,0.404304381245196,0.8848668215462748,0.7543325516817566
